Last,First,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
Acker,Jim,27,21,28,28,1,3,1,0,0,0,0,0,0,21
Adduci,Jim,26,3,13,11,2,1,1,0,0,0,0,0,1,2
Aguayo,Luis,27,62,146,133,17,28,6,1,4,13,1,1,8,26
Aguilera,Rick,24,32,57,51,4,8,0,0,2,6,0,0,3,12
Akerfelds,Darrel,24,1,0,0,0,0,0,0,0,0,0,0,0,0
Aldrete,Mike,25,84,256,216,27,54,18,3,2,25,1,3,33,34
Alexander,Doyle,35,18,45,38,2,8,1,0,0,5,0,0,0,8
Allanson,Andy,24,101,324,293,30,66,7,3,1,29,10,1,14,36
Almon,Bill,33,102,230,196,29,43,7,2,7,27,11,4,30,38
Amelung,Ed,27,8,11,11,0,1,0,0,0,0,0,0,0,4
Andersen,Larry,33,48,7,6,0,0,0,0,0,0,0,0,0,3
Anderson,Dave,25,92,241,216,31,53,9,0,1,15,5,1,22,39
Anderson,Rick,29,15,12,11,1,1,0,0,0,0,0,0,0,4
Anderson,Allan,22,1,0,0,0,0,0,0,0,0,0,0,0,0
Armas,Tony,32,121,453,425,40,112,21,4,11,58,0,3,24,77
Asadoor,Randy,23,15,60,55,9,20,5,0,0,7,1,2,3,13
Ashby,Alan,34,120,361,315,24,81,15,0,7,38,1,0,39,56
Assenmacher,Paul,25,61,8,6,0,0,0,0,0,0,0,0,2,3
Atherton,Keith,27,3,0,0,0,0,0,0,0,0,0,0,0,0
Backman,Wally,26,124,440,387,67,124,18,2,1,27,13,7,36,32
Bailes,Scott,24,1,0,0,0,0,0,0,0,0,0,0,0,0
Bailey,Mark,24,57,182,153,9,27,5,0,4,15,1,1,28,45
Baines,Harold,27,145,618,570,72,169,29,2,21,88,2,1,38,89
Bair,Doug,36,1,0,0,0,0,0,0,0,0,0,0,0,0
Baker,Dusty,37,83,271,242,25,58,8,0,4,19,0,1,27,37
Baker,Doug,25,13,30,24,1,3,1,0,0,0,0,0,2,7
Balboni,Steve,29,138,562,512,54,117,25,1,29,88,0,0,43,146
Baller,Jay,25,36,6,5,0,0,0,0,0,0,0,0,0,1
Bando,Chris,30,92,290,254,28,68,9,0,2,26,0,1,22,49
Barfield,Jesse,26,158,671,589,107,170,35,2,40,108,8,8,69,146
Bargar,Greg,27,22,2,2,0,0,0,0,0,0,0,0,0,2
Barrett,Marty,28,158,713,625,94,179,39,4,4,60,15,7,65,31
Bass,Kevin,27,157,640,591,83,184,33,5,20,79,22,13,38,72
Bathe,Bill,25,39,112,103,9,19,3,0,5,11,0,0,2,20
Baylor,Don,37,160,687,585,93,139,23,1,31,94,3,5,62,111
Beane,Billy,24,80,194,183,20,39,6,0,3,15,2,3,11,54
Beckwith,Joe,31,15,0,0,0,0,0,0,0,0,0,0,0,0
Bedrosian,Steve,28,68,6,5,0,1,0,0,0,0,0,0,1,1
